Name,Region,Resource ID,Type
–,us-east-2,vpc-07dac9ffe2e68f180,Vpc
–,us-east-2,sg-0a2337b3856b74b81,SecurityGroup
–,us-east-2,subnet-013046505dcb22204,Subnet
–,us-east-2,subnet-0ce4f53505888d8a7,Subnet
–,us-east-2,subnet-052bc4c81ef0ec932,Subnet
–,sa-east-1,vpc-0b4d4a4a09789e810,Vpc
–,sa-east-1,subnet-00a7700e2f72fbff0,Subnet
–,sa-east-1,subnet-0299f7b772e957079,Subnet
–,sa-east-1,subnet-0267ba52213af985a,Subnet
–,sa-east-1,sg-05a865467f54ff6aa,SecurityGroup
–,ca-central-1,vpc-072161fc85f67fe6b,Vpc
–,ca-central-1,subnet-03768a5e9b31f40f1,Subnet
–,ca-central-1,subnet-0570d667ab7876c21,Subnet
–,ca-central-1,subnet-0c8004ae52a568bd5,Subnet
–,ca-central-1,sg-0a3bf32915a01a148,SecurityGroup
–,us-east-1,vpc-0d28226dec5b439f8,Vpc
–,us-west-1,sg-036af8b06ab3d05df,SecurityGroup
–,eu-central-1,sg-0596c4cc5c575dfa0,SecurityGroup
–,eu-west-2,vpc-0afe700e00aea207e,Vpc
–,eu-west-3,vpc-0fd5ee697eb11e849,Vpc
–,eu-west-2,sg-09719232e543aea1b,SecurityGroup
–,eu-central-1,vpc-0e455d28884413004,Vpc
–,eu-west-3,sg-0263ba422012b04b5,SecurityGroup
–,eu-west-3,subnet-05af6fa6c1eacc6bf,Subnet
–,eu-west-3,subnet-07f4a34173c50c3b8,Subnet
–,eu-west-3,subnet-013f40056c1caba2e,Subnet
–,us-east-1,sg-0aecc960c02254182,SecurityGroup
–,eu-west-1,subnet-0453e1df24b10d79b,Subnet
–,eu-west-1,subnet-0921f0c679f325a9e,Subnet
–,eu-west-1,subnet-02a234301a82334fe,Subnet
–,us-east-1,subnet-0531166a0fdcdabc1,Subnet
–,us-east-1,subnet-00dc01ba40899623b,Subnet
–,us-east-1,subnet-0f24cc550f626960e,Subnet
–,us-east-1,subnet-0fb6d9a94a138938b,Subnet
–,us-east-1,subnet-092c4e8fa2bb26e9e,Subnet
–,us-east-1,subnet-0a2be3d9173bdf77f,Subnet
–,us-west-1,vpc-022ddf57733ea5093,Vpc
–,eu-west-1,sg-04276271d5e8c55b3,SecurityGroup
–,eu-west-2,subnet-0f68d52e7a8c8ab15,Subnet
–,eu-west-2,subnet-0436f8cca7fd65eef,Subnet
–,eu-west-2,subnet-021265b5015514ae0,Subnet
–,us-west-1,subnet-0a3e865e4aaa8f7f0,Subnet
–,us-west-1,subnet-0420708e873cfdae6,Subnet
–,us-west-2,vpc-0ce5312e11a859d06,Vpc
–,eu-west-1,vpc-062dd8098b11e07ca,Vpc
–,eu-central-1,subnet-08f93dd7c4a8ec42b,Subnet
–,eu-central-1,subnet-09770b06caa42df21,Subnet
–,eu-central-1,subnet-0ad5abac8777ab8e2,Subnet
–,us-west-2,subnet-0c464654a66b8d490,Subnet
–,us-west-2,subnet-01e726bfddf042c39,Subnet
–,us-west-2,subnet-08dd2c52adce11212,Subnet
–,us-west-2,subnet-0e1e692391cd49d85,Subnet
–,eu-north-1,vpc-0d7402f7873d6f352,Vpc
–,eu-north-1,subnet-057e7fc3391ac7dc0,Subnet
–,eu-north-1,subnet-0d4714d0f48ccebd9,Subnet
–,eu-north-1,subnet-082820bc87aa53c21,Subnet
–,us-west-2,sg-05e407751e4b9a9f0,SecurityGroup
–,eu-north-1,sg-042b9ee5fd0c19521,SecurityGroup
–,ap-northeast-3,vpc-02be193385502b0f5,Vpc
–,ap-northeast-3,subnet-01991b9561e7d6b45,Subnet
–,ap-northeast-3,subnet-04e6b580dfcfbe9f3,Subnet
–,ap-northeast-3,subnet-0df72c96b4edc0a2f,Subnet
–,ap-northeast-3,sg-08d976432963f7432,SecurityGroup
–,ap-south-1,subnet-0c4355c4e06389b5e,Subnet
–,ap-south-1,subnet-01beedd63f887f600,Subnet
–,ap-south-1,subnet-0ad4266894dbb5422,Subnet
–,ap-southeast-1,vpc-00eb1f56097d2e747,Vpc
–,ap-south-1,vpc-0e8deaf9157509dfe,Vpc
–,ap-northeast-2,vpc-0f1e3e7b4680119b1,Vpc
–,ap-south-1,sg-006c493ab14fd6bd9,SecurityGroup
–,ap-northeast-1,sg-035c0068430edb678,SecurityGroup
–,ap-southeast-1,subnet-0b0528f38b960a895,Subnet
–,ap-southeast-1,subnet-05aeca846518d9b64,Subnet
–,ap-southeast-1,subnet-0bf9b837d7b25169e,Subnet
–,ap-northeast-1,vpc-06efdd8698c4f0739,Vpc
–,ap-northeast-1,subnet-0a2753b339d07255e,Subnet
–,ap-northeast-1,subnet-0fb66ab03f0425aad,Subnet
–,ap-northeast-1,subnet-05e976b55ac0304ba,Subnet
–,ap-northeast-2,subnet-02183fba362b8ba42,Subnet
–,ap-northeast-2,subnet-05885adf7e594c159,Subnet
–,ap-northeast-2,subnet-007e0d8006a5b7673,Subnet
–,ap-northeast-2,subnet-0fb3dc114f7e25ff7,Subnet
–,ap-northeast-2,sg-0bdfdeb433532a891,SecurityGroup
–,ap-southeast-1,sg-0aaad31032f230710,SecurityGroup
–,ap-southeast-2,sg-0f5c372a2231afd49,SecurityGroup
–,ap-southeast-2,vpc-091f9859fc7cd8d17,Vpc
–,ap-southeast-2,subnet-0b07556e57410fd85,Subnet
–,ap-southeast-2,subnet-033c8ae648490b009,Subnet
–,ap-southeast-2,subnet-0809a6fede42b8869,Subnet